Продукт,Калорийность,Белки,Жиры,Углеводы
Лапша Куриная [Крошка-Картошка],60 кКал,"2,8 г","4,8 г","1,5 г"
Мини Биф Ролл [Крошка-Картошка],232 кКал,"7,8 г",9 г,"28,6 г"
Молочный Коктейль [Крошка-Картошка],112 кКал,"3,9 г",3 г,18 г
Морс Ягодный [Крошка-Картошка],28 кКал,"0,2 г",0 г,"6,9 г"
Наполнитель Брынза с Укропом [Крошка-Картошка],352 кКал,"7,5 г",34 г,"3,9 г"
Наполнитель Грибной Микс [Крошка-Картошка],215 кКал,"1,5 г","20,6 г","5,9 г"
Наполнитель Закусочный [Крошка-Картошка],38 кКал,"1,4 г","2,8 г","1,8 г"
Наполнитель Закусочный С Грибами [Крошка-Картошка],66 кКал,"1,5 г","4,2 г","5,4 г"
Наполнитель Крабовое Мясо [Крошка-Картошка],338 кКал,"3,4 г","30,4 г","12,8 г"
Наполнитель Крабовый [Крошка-Картошка],355 кКал,"10,5 г",34 г,"1,9 г"
Наполнитель Красная Рыба [Крошка-Картошка],78 кКал,2 г,"7,7 г",0 г
Наполнитель Красная Рыбка [Крошка-Картошка],235 кКал,17 г,"18,5 г",0 г
Наполнитель Куриный [Крошка-Картошка],197 кКал,"4,4 г","18,6 г","2,9 г"
Наполнитель Курица Барбекю [Крошка-Картошка],178 кКал,"10,8 г","10,2 г","10,8 г"
Наполнитель Мясное Ассорти [Крошка-Картошка],251 кКал,"9,1 г","23,5 г","0,9 г"
Наполнитель Мясо-Барбекю [Крошка-Картошка],167 кКал,"5,6 г","12,3 г","8,4 г"
Наполнитель Салат Домашний [Крошка-Картошка],237 кКал,12 г,"20,5 г","1,2 г"
Наполнитель Сосиски в Горчичном Соусе [Крошка-Картошка],158 кКал,"4,5 г","13,8 г","3,8 г"
Наполнитель Сырный [Крошка-Картошка],433 кКал,"19,1 г","38,7 г","2,3 г"
Наполнитель Сырный с Ветчиной [Крошка-Картошка],202 кКал,"12,3 г","16,5 г","0,9 г"
Наполнитель Сырный с Морковью [Крошка-Картошка],447 кКал,"13,9 г","42,4 г","2,5 г"
Наполнитель Тунец Васаби [Крошка-Картошка],262 кКал,"10,1 г","17,6 г",16 г
Наполнитель Фета со Сладким Перцем [Крошка-Картошка],370 кКал,8 г,"35,2 г","5,4 г"
Окрошка на Айране [Крошка-Картошка],47 кКал,3 г,"2,7 г","2,7 г"
Патата Грибы [Крошка-Картошка],83 кКал,"1,6 г","5,7 г","6,4 г"
Печёные Баклажаны [Крошка-Картошка],105 кКал,"1,5 г","5,3 г","12,7 г"
Печеный Картофель с Грибами [Крошка-Картошка],284 кКал,6 г,"11,2 г","40,8 г"
Печеный Картофель с Мясом и Маслом [Крошка-Картошка],130 кКал,"5,2 г",6 г,"13,5 г"
Ролл с Креветками [Крошка-Картошка],193 кКал,"9,3 г","8,6 г","19,7 г"
Ролл с Курицей и Овощами [Крошка-Картошка],634 кКал,"17,4 г","61,6 г","2,8 г"
Салат Закусочный [Крошка-Картошка],75 кКал,"2,8 г","5,5 г","3,6 г"
Салат Куриный [Крошка-Картошка],328 кКал,"7,4 г",31 г,"4,9 г"
Салат с Брынзой и Свежими Овощами [Крошка-Картошка],242 кКал,4 г,"22,4 г","6,2 г"
Салат с Фермерской Курочкой [Крошка-Картошка],154 кКал,"8,1 г","10,9 г","5,8 г"
Салат Цезарь [Крошка-Картошка],154 кКал,"8,1 г","10,9 г","5,8 г"
Солянка Мясная [Крошка-Картошка],49 кКал,"2,9 г","2,5 г","3,9 г"
Сосиски в Горчичном Соусе [Крошка-Картошка],255 кКал,"7,3 г","22,3 г","6,2 г"
Сырники с Вишневым Соусом [Крошка-Картошка],262 кКал,"10,1 г","8,7 г","35,7 г"
Сырники со Сметаной [Крошка-Картошка],245 кКал,"10,9 г","14,8 г","16,9 г"
Сырный с Ветчиной [Крошка-Картошка],336 кКал,"20,5 г","27,5 г","1,5 г"
Сэндвич Классический с Ветчиной [Крошка-Картошка],267 кКал,"8,3 г","9,4 г","37,2 г"
Сэндвич с Ветчиной и Сыром [Крошка-Картошка],310 кКал,"12,8 г","16,7 г","27,3 г"
Сэндвич с Красной Рыбкой [Крошка-Картошка],226 кКал,"10,4 г","15,5 г","21,2 г"
Сэндвич с Куриной Грудкой [Крошка-Картошка],300 кКал,"9,7 г","12,8 г","36,7 г"
Тарт Бисквитный с Вишней [Крошка-Картошка],584 кКал,"8,7 г",47 г,"31,7 г"
Тарт Лесная Ягода [Крошка-Картошка],150 кКал,"1,7 г","4,8 г","24,8 г"
Тост Мясной [Крошка-Картошка],314 кКал,"12,8 г",18 г,"25,2 г"
Тост с Сыром [Крошка-Картошка],420 кКал,"16,3 г","17,5 г","38,8 г"
Хлеб с Чесночным Маслом [Крошка-Картошка],137 кКал,"2,1 г","9,4 г",11 г
Холодец [Крошка-Картошка],43 кКал,"6,9 г","2,2 г","0,6 г"
Чизкейк [Крошка-Картошка],328 кКал,5 г,"21,3 г","29,3 г"
Айс Кофе [Макдоналдс],130 кКал,"3,6 г","3,7 г",21 г
Айс Кофе [Макдоналдс],42 кКал,"1,2 г","1,4 г","6,3 г"
Айс Кофе Гранд [Макдоналдс],358 кКал,"4,5 г",20 г,39 г
Американо [Макдоналдс],10 кКал,"0,9 г","0,3 г","0,9 г"
"Апельсиновый Сок (0,25 L) [Макдоналдс]",153 кКал,"3,8 г","0,6 г",30 г
"Апельсиновый Сок (0,3 L) [Макдоналдс]",150 кКал,0 г,0 г,33 г
"Апельсиновый Сок (0,4 L) [Макдоналдс]",190 кКал,3 г,1 г,41 г
"Апельсиновый Сок (0,47 L) [Макдоналдс]",235 кКал,0 г,0 г,52 г
"Апельсиновый Сок (0,5 L) [Макдоналдс]",240 кКал,4 г,1 г,52 г
Биг Брекфаст Ролл [Макдоналдс],583 кКал,25 г,31 г,48 г
Биг Маг [Макдоналдс],495 кКал,27 г,25 г,40 г
Биг Мак [Макдоналдс],522 кКал,27 г,27 г,42 г
Биг Мак без Соуса [Макдоналдс],234 кКал,"12,8 г","11,6 г","19,3 г"
Биг Мак Бекон-Томат-Салат [Макдоналдс],549 кКал,29 г,29 г,42 г
Биг Тейсти [Макдоналдс],800 кКал,43 г,47 г,49 г
Биг Тейсти Бекон [Макдоналдс],854 кКал,47 г,51 г,50 г
Биг Тейсти Джуниор [Макдоналдс],573 кКал,31 г,33 г,36 г
Биг Тейсти Острый [Макдоналдс],801 кКал,44 г,46 г,52 г
Биг Тейсти Ролл [Макдоналдс],521 кКал,26 г,30 г,36 г
Биг Тейсти с Беконом [Макдоналдс],854 кКал,47 г,51 г,50 г
Биг Тейсти Чураско [Макдоналдс],807 кКал,44 г,46 г,51 г
Билли Бекон [Макдоналдс],659 кКал,40 г,33 г,48 г
Биф а-ля Рус [Макдоналдс],580 кКал,25 г,33 г,41 г
Биф А-Ля Рус с Беконом [Макдоналдс],579 кКал,30 г,32 г,42 г
Биф Ролл [Макдоналдс],520 кКал,20 г,29 г,43 г
Биффер [Макдоналдс],258 кКал,12 г,13 г,23 г
Бифштекс Рубленный [Макдоналдс],220 кКал,19 г,16 г,0 г
Блинчики [Макдоналдс],241 кКал,"7,5 г","3,2 г",45 г
Блины (Стандартные) [Макдоналдс],235 кКал,7 г,3 г,45 г
Блины с Джемом [Макдоналдс],285 кКал,7 г,3 г,57 г
Блины с Мёдом [Макдоналдс],315 кКал,10 г,11 г,44 г
Большие Креветки (4) [Макдоналдс],180 кКал,"9,9 г",9 г,15 г
Большие Креветки (4) [Макдоналдс],180 кКал,"9,9 г",9 г,15 г
Большие Креветки (6) [Макдоналдс],271 кКал,15 г,14 г,22 г
Большие Креветки (9) [Макдоналдс],406 кКал,22 г,20 г,34 г
Большой Завтрак [Макдоналдс],550 кКал,28 г,30 г,40 г
Большой завтрак McDonalds [Макдоналдс],640 кКал,30 г,30 г,62 г
Большой завтрак McDonalds с джемом [Макдоналдс],675 кКал,30 г,35 г,58 г
Большой завтрак McDonalds с мёдом [Макдоналдс],685 кКал,30 г,35 г,60 г
Ванильное Печенье с Кусочками Шоколада [Макдоналдс],360 кКал,4 г,18 г,44 г
Ванильный Сироп [Макдоналдс],62 кКал,0 г,0 г,15 г
Вафельный Рожок [Макдоналдс],164 кКал,"3,8 г","3,6 г",29 г
Венская Вафля [Макдоналдс],309 кКал,"5,9 г",15 г,43 г
Вестерн Гурмэ [Макдоналдс],667 кКал,34 г,36 г,51 г
Вишневый Пирожок [Макдоналдс],249 кКал,"2,8 г",12 г,32 г
Гамбургер [Макдоналдс],251 кКал,13 г,"8,8 г",29 г
Гляссе [Макдоналдс],125 кКал,4 г,3 г,19 г
Гранд Биф [Макдоналдс],610 кКал,34 г,30 г,49 г
"Гранд Капучино (0,4 L) [Макдоналдс]",136 кКал,"6,3 г","7,6 г",10 г
Гранд Чизбургер [Макдоналдс],474 кКал,25 г,21 г,46 г
Грик Мак [Макдоналдс],486 кКал,24 г,26 г,39 г
Грикмак [Макдоналдс],476 кКал,21 г,30 г,29 г
Гриль Гурмэ [Макдоналдс],896 кКал,47 г,55 г,51 г
Гурме Вестерн [Макдоналдс],667 кКал,34 г,36 г,51 г
Дабл Макфреш [Макдоналдс],481 кКал,31 г,"25,6 г","30,7 г"
Дабл Чизбургер [Макдоналдс],448 кКал,27 г,24 г,31 г
Дакуаз с Малиной [Макдоналдс],318 кКал,5 г,15 г,41 г
Двойной Биг Мак [Макдоналдс],686 кКал,42 г,38 г,42 г
Двойной Биг Тейсти [Макдоналдс],1114 кКал,71 г,69 г,50 г
Двойной Гранд Чизбургер [Макдоналдс],619 кКал,37 г,32 г,46 г
Двойной Кантрибургер [Макдоналдс],442 кКал,24 г,22 г,37 г
Двойной Картофель Фри [Макдоналдс],660 кКал,"7,8 г",32 г,82 г
Двойной Роял Чизбургер [Макдоналдс],732 кКал,49 г,42 г,38 г
Двойной Филе-О-Фиш [Макдоналдс],478 кКал,26 г,21 г,45 г
Двойной Фреш Макмаффин [Макдоналдс],513 кКал,28 г,32 г,28 г
Двойной Чизбургер [Макдоналдс],441 кКал,26 г,23 г,31 г
Двойной Чизбургер Де Люкс [Макдоналдс],674 кКал,38 г,36 г,48 г
Двойной Чизбургер Фреш [Макдоналдс],440 кКал,24 г,24 г,30 г
Двойной Эгг Макмаффин с Яйцом и Свиной Котлетой [Макдоналдс],628 кКал,38 г,40 г,28 г
Двойной Эспрессо [Макдоналдс],2 кКал,"0,2 г","0,1 г","0,2 г"
Дер Бургер [Макдоналдс],345 кКал,15 г,17 г,33 г
Десерт А-Ля Мод [Макдоналдс],508 кКал,"9,3 г",15 г,83 г
Десерт Вафельный Рожок [Макдоналдс],135 кКал,3 г,4 г,22 г
Десерт Вафельный рожок McDonalds [Макдоналдс],135 кКал,3 г,4 г,22 г
Десерт Вишнёвый пирожок [Макдоналдс],230 кКал,2 г,12 г,29 г
Десерт Вишнёвый пирожок McDonalds [Макдоналдс],230 кКал,2 г,12 г,29 г
Десерт Макфлурри Де Люкс карамельно-шоколадный [Макдоналдс],375 кКал,6 г,10 г,60 г
Десерт Макфлурри Де Люкс клубнично-шоколадный [Макдоналдс],330 кКал,6 г,8 г,54 г
Десерт Макфлурри с рисовыми шариками [Макдоналдс],340 кКал,6 г,8 г,56 г
Десерт Макфлурри с шоколадно-вафельной крошкой [Макдоналдс],280 кКал,6 г,8 г,40 г
Десерт Маффин с чёрной смородиной [Макдоналдс],470 кКал,7 г,31 г,40 г
Десерт Маффин с шоколадом [Макдоналдс],480 кКал,7 г,32 г,41 г
Десерт Мороженое с карамелью [Макдоналдс],335 кКал,5 г,9 г,58 г
Десерт Мороженое с клубникой [Макдоналдс],275 кКал,5 г,7 г,48 г
Десерт Мороженое с шоколадом [Макдоналдс],325 кКал,6 г,11 г,50 г
Десерт Мусс Шоколадный [Макдоналдс],353 кКал,"3,1 г",24 г,29 г
Десерт Спелая Вишня с Бисквитом [Макдоналдс],280 кКал,"3,8 г","6,8 г",51 г
Джем Клубничный [Макдоналдс],240 кКал,0 г,0 г,60 г
Дикая Клюква [Макдоналдс],198 кКал,0 г,"4,2 г",40 г
Донат [Макдоналдс],263 кКал,"2,5 г",15 г,28 г
Донат с Шоколадным Кремом [Макдоналдс],371 кКал,"3,8 г",23 г,37 г
Завтрак двойной МакМаффин с яйцом и свиной котлетой [Макдоналдс],615 кКал,39 г,33 г,41 г
Завтрак двойной Фреш МакМаффин [Макдоналдс],550 кКал,28 г,36 г,29 г
Завтрак МакМаффин с яйцом и беконом [Макдоналдс],305 кКал,18 г,14 г,26 г
Завтрак МакМаффин с яйцом и свиной котлетой [Макдоналдс],425 кКал,26 г,21 г,33 г
Завтрак МакМаффин с яйцом и сыром [Макдоналдс],275 кКал,16 г,12 г,26 г
Завтрак МакМаффин со свиной котлетой [Макдоналдс],345 кКал,19 г,15 г,33 г
Завтрак МакТост [Макдоналдс],235 кКал,11 г,9 г,28 г
Завтрак МакТост с ветчиной [Макдоналдс],260 кКал,14 г,10 г,28 г
Завтрак Фреш МакМаффин [Макдоналдс],380 кКал,19 г,18 г,35 г
Завтрак Хашбраун [Макдоналдс],140 кКал,1 г,8 г,16 г
Завтрак Чикен Фреш МакМаффин [Макдоналдс],355 кКал,13 г,15 г,42 г
Заправка Цезарь [Макдоналдс],125 кКал,"1,8 г",11 г,"3,7 г"
Згапари [Макдоналдс],367 кКал,"9,7 г",19 г,39 г
Кантрибургер [Макдоналдс],306 кКал,15 г,11 г,36 г
"Капучино (0,2 L) [Макдоналдс]",78 кКал,"3,6 г","4,4 г","5,9 г"
"Капучино (0,3 L) [Макдоналдс]",123 кКал,"5,7 г","6,9 г","9,4 г"
"Капучино без Сахара (0,3 L) [Макдоналдс]",89 кКал,"4,5 г","4,5 г","7,5 г"
"Капучино Большой (0,3 L) [Макдоналдс]",114 кКал,"5,6 г","6,4 г","8,7 г"
"Капучино Гранд (0,4 L) [Макдоналдс]",130 кКал,6 г,7 г,10 г
"Капучино Гранд без Сахара (0,4 L) [Макдоналдс]",156 кКал,"7,2 г","8,8 г",12 г
"Капучино Карамель (0,3 L) [Макдоналдс]",175 кКал,7 г,"6,5 г",24 г
"Капучино Лесной Орех (0,3 L) [Макдоналдс]",175 кКал,7 г,"6,5 г",24 г
Карри [Макдоналдс],158 кКал,"0,7 г","1,3 г","34,4 г"
Карри Снек Ролл [Макдоналдс],350 кКал,12 г,16 г,41 г
Картофель по-Деревенски [Макдоналдс],243 кКал,"3,4 г",11 г,31 г
Картофель по-деревенски McDonalds [Макдоналдс],330 кКал,4 г,15 г,42 г
Картофель фри (большая порция) [Макдоналдс],505 кКал,8 г,26 г,66 г
Картофель Фри (Большой) [Макдоналдс],434 кКал,"5,2 г",21 г,54 г
Картофель Фри (Детская Порция) [Макдоналдс],240 кКал,3 г,12 г,29 г
Картофель фри (маленькая порция) [Макдоналдс],235 кКал,3 г,12 г,29 г
Картофель Фри (Маленькая) [Макдоналдс],231 кКал,"2,8 г",11 г,29 г
Картофель фри (стандартная порция) [Макдоналдс],340 кКал,5 г,17 г,42 г
Картофель Фри (Стандартный) [Макдоналдс],330 кКал,"3,9 г",16 г,41 г
Картофель фри McDonalds (большая порция) [Макдоналдс],445 кКал,5 г,22 г,54 г
Картофель фри McDonalds (маленькая порция) [Макдоналдс],240 кКал,3 г,12 г,29 г
Картофель фри McDonalds (средняя порция) [Макдоналдс],340 кКал,5 г,17 г,42 г
Картофель Фри Маленький [Макдоналдс],240 кКал,3 г,12 г,29 г
Картофельные Дипы [Макдоналдс],361 кКал,5 г,17 г,44 г
Картофельный Оладушек [Макдоналдс],132 кКал,"1,3 г","7,7 г",14 г
Картошка по-Бельгийски [Макдоналдс],204 кКал,"1,8 г",14 г,18 г
Картошка по-Деревенски [Макдоналдс],331 кКал,"4,6 г",15 г,42 г
Картошка по-Техасски Фри [Макдоналдс],436 кКал,"8,7 г",25 г,43 г
Картошка Фри [Макдоналдс],240 кКал,3 г,12 г,29 г
Картошка Фри Средняя Порция [Макдоналдс],330 кКал,"3,9 г",16 г,41 г
Кетчуп [Макдоналдс],36 кКал,"0,5 г","0,1 г","6,2 г"
Кленовый Пекан [Макдоналдс],340 кКал,4 г,23 г,29 г
Клюква и Изюм [Макдоналдс],63 кКал,"0,3 г",0 г,16 г
"Кока-Кола (0,25 L) [Макдоналдс]",110 кКал,0 г,0 г,27 г
"Кока-Кола (0,4 L) [Макдоналдс]",170 кКал,0 г,0 г,42 г
"Кока-Кола (0,5 L) [Макдоналдс]",210 кКал,0 г,0 г,53 г
Кока-Кола Лайт [Макдоналдс],2 кКал,"0,3 г",0 г,0 г
"Кока-Кола Макфизз Ваниль (0,4 L) [Макдоналдс]",127 кКал,0 г,0 г,32 г
Коктейль ванильный [Макдоналдс],400 кКал,10 г,10 г,68 г
Коктейль ванильный McDonalds 400 мл [Макдоналдс],385 кКал,9 г,7 г,71 г
Коктейль Клубничный [Макдоналдс],385 кКал,9 г,7 г,71 г
Коктейль клубничный McDonalds 400 мл [Макдоналдс],385 кКал,9 г,7 г,71 г
Коктейль Молочный Дольче Малина [Макдоналдс],235 кКал,"5,7 г","4,3 г",44 г
Коктейль Шоколадный [Макдоналдс],395 кКал,10 г,8 г,70 г
Коктейль шоколадный McDonalds 400 мл [Макдоналдс],395 кКал,10 г,8 г,70 г
"Кофе (0,2 L) [Макдоналдс]",7 кКал,"0,6 г","0,2 г","0,6 г"
"Кофе (0,3 L) [Макдоналдс]",10 кКал,"0,9 г",0 г,"0,9 г"
"Кофе Глясе (0,3 L) [Макдоналдс]",123 кКал,"3,6 г","3,3 г",20 г
Кофе Гляссе [Макдоналдс],125 кКал,4 г,3 г,19 г
Кофе Латте [Макдоналдс],132 кКал,"6,1 г","7,4 г",10 г
Кофе Мокко [Макдоналдс],230 кКал,9 г,8 г,30 г
Кофе Сливочная Арабика [Макдоналдс],298 кКал,6 г,22 г,19 г
"Кофе Флэт Уайт (0,3 L) [Макдоналдс]",113 кКал,"5,8 г",6 г,"8,9 г"
Креветки в Кляре [Макдоналдс],267 кКал,"12,5 г","13,5 г","22,9 г"
Круассан [Макдоналдс],191 кКал,"3,5 г",11 г,19 г
Круассан с Сыром и Прованскими Травами [Макдоналдс],280 кКал,7 г,17 г,24 г
Куриные Крылышки (4) [Макдоналдс],184 кКал,20 г,11 г,"1,5 г"
Куриные Крылышки (6) [Макдоналдс],292 кКал,32 г,16 г,"4,1 г"
Куриные Крылышки (9) [Макдоналдс],415 кКал,45 г,24 г,"3,3 г"
Куриные Крылышки [Макдоналдс],99 кКал,"6,1 г","6,5 г","4,1 г"
Куриные Крылья [Макдоналдс],973 кКал,60 г,63 г,42 г
Куриные Наггетсы [Макдоналдс],45 кКал,"2,8 г","2,3 г","3,2 г"
"Латте (0,3 L) [Макдоналдс]",125 кКал,6 г,7 г,10 г
"Латте Гранд (0,4 L) [Макдоналдс]",130 кКал,"6,5 г",7 г,10 г
Лимонад Вишня [Макдоналдс],139 кКал,0 г,0 г,35 г
Лимонад Гренадин [Макдоналдс],79 кКал,0 г,0 г,20 г
Лимонад Гуава [Макдоналдс],140 кКал,"0,1 г",0 г,35 г
Лимонад Малина [Макдоналдс],139 кКал,0 г,0 г,35 г
Лимонный Треугольник [Макдоналдс],130 кКал,"1,3 г","6,9 г",16 г
Лимонный Чизкейк [Макдоналдс],281 кКал,7 г,17 г,24 г
Макарони [Макдоналдс],75 кКал,"1,1 г","3,4 г","9,8 г"
Макзавтрак Блины с джемом [Макдоналдс],303 кКал,7 г,3 г,57 г
Макзавтрак Блины с мёдом [Макдоналдс],308 кКал,7 г,3 г,59 г
Макзавтрак Блины стандартные [Макдоналдс],235 кКал,7 г,3 г,45 г
Макзавтрак двойной МакМаффин с яйцом и свиной котлетой [Макдоналдс],645 кКал,36 г,41 г,31 г
Макзавтрак двойной Фреш МакМаффин [Макдоналдс],560 кКал,27 г,35 г,33 г
Макзавтрак МакМаффин с яйцом и беконом [Макдоналдс],310 кКал,17 г,14 г,27 г
Макзавтрак МакМаффин с яйцом и свиной котлетой [Макдоналдс],435 кКал,24 г,25 г,27 г
Макзавтрак МакМаффин с яйцом и сыром [Макдоналдс],275 кКал,15 г,11 г,27 г
Макзавтрак МакМаффин со свиной котлетой [Макдоналдс],360 кКал,17 г,20 г,27 г
Макзавтрак МакТост [Макдоналдс],255 кКал,10 г,10 г,30 г
Макзавтрак МакТост с ветчиной [Макдоналдс],280 кКал,14 г,11 г,30 г
Макзавтрак Овсяная каша с джемом [Макдоналдс],200 кКал,4 г,4 г,35 г
Макзавтрак Овсяная каша с клюквой и изюмом [Макдоналдс],212 кКал,"4,3 г",4 г,38 г
Макзавтрак Овсяная каша с мёдом [Макдоналдс],210 кКал,4 г,4 г,35 г
Макзавтрак Овсяная каша стандартная [Макдоналдс],150 кКал,4 г,4 г,23 г
Макзавтрак Снек Ролл с омлетом и беконом [Макдоналдс],320 кКал,16 г,16 г,27 г
Макзавтрак Снек Ролл с омлетом и свиной котлетой [Макдоналдс],435 кКал,22 г,26 г,27 г
Макзавтрак Фреш МакМаффин [Макдоналдс],400 кКал,18 г,21 г,33 г
Макзавтрак Хашбраун [Макдоналдс],135 кКал,1 г,8 г,14 г
Макзавтрак Чикен Фреш МакМаффин [Макдоналдс],365 кКал,19 г,13 г,41 г
Макмаффин с Яйцом и Беконом [Макдоналдс],317 кКал,18 г,15 г,26 г
Макмаффин с Яйцом и Ветчиной [Макдоналдс],312 кКал,20 г,14 г,27 г
Макмаффин с Яйцом и Свиной Котлетой [Макдоналдс],434 кКал,25 г,25 г,26 г
Макмаффин с Яйцом и Сыром [Макдоналдс],289 кКал,16 г,13 г,26 г
Макмаффин со Свиной Котлетой [Макдоналдс],344 кКал,18 г,18 г,26 г
Макпирог Клубничный Чизкейк [Макдоналдс],186 кКал,3 г,7 г,27 г
Макпирог с Вишней [Макдоналдс],255 кКал,3 г,13 г,31 г
Макпирог Шоколадно-Апельсиновый [Макдоналдс],294 кКал,3 г,14 г,38 г
Максанди с Карамелью [Макдоналдс],241 кКал,5 г,5 г,44 г
Максанди с Шоколадом [Макдоналдс],243 кКал,"5,7 г","6,8 г","39,5 г"
Мактост [Макдоналдс],255 кКал,10 г,10 г,30 г
Мактост с Ветчиной [Макдоналдс],280 кКал,14 г,11 г,30 г
Мактост с Ветчиной и Сыром [Макдоналдс],265 кКал,14 г,11 г,28 г
Мактост с Грибами и Сыром [Макдоналдс],243 кКал,"8,8 г",11 г,26 г
Мактост с Сыром [Макдоналдс],240 кКал,10 г,"9,7 г",27 г
Макфлури Гуава [Макдоналдс],343 кКал,"6,4 г","8,2 г",61 г
Макфлури Де Люкс Ананас [Макдоналдс],334 кКал,"6,4 г","8,2 г",59 г
Макфлури Де Люкс Крем-Брюле [Макдоналдс],322 кКал,6 г,6 г,59 г
Макфлури Де Люкс Мокко [Макдоналдс],360 кКал,"7,2 г",11 г,57 г
Макфлури Де Люкс Персик [Макдоналдс],347 кКал,"6,7 г","8,2 г",61 г
Макфлури Де Люкс с Бисквитом и Карамелью [Макдоналдс],400 кКал,"7,1 г",11 г,67 г
Макфлури Карамель [Макдоналдс],354 кКал,"8,1 г",9 г,60 г
Макфлури Карамельный с Вафельно-Шоколадной Крошкой [Макдоналдс],370 кКал,7 г,"9,4 г",64 г
Макфлури Лесной Орех [Макдоналдс],220 кКал,8 г,6 г,34 г
Макфлури с Вафельно-Шоколадной Крошкой [Макдоналдс],270 кКал,6 г,8 г,43 г
Макфлури с Шоколадно-Вафельной Крошкой [Макдоналдс],280 кКал,6 г,8 г,40 г
Макфлури Сочный Ананас [Макдоналдс],290 кКал,"5,5 г","5,6 г",54 г
Макфлури Спелая Вишня [Макдоналдс],344 кКал,"6,4 г","8,2 г",61 г
Макфлури Спелое Манго [Макдоналдс],285 кКал,"5,5 г","5,7 г",53 г
Макфлури Тирамису [Макдоналдс],343 кКал,7 г,"7,6 г",62 г
Макфлури Яблочный Пай [Макдоналдс],307 кКал,"6,5 г","6,6 г",55 г
Макфлурри Де Люкс Грецкий Орех [Макдоналдс],277 кКал,"5,5 г","5,6 г",51 г
Макфлурри Де Люкс Гуава [Макдоналдс],343 кКал,"6,4 г","8,2 г",61 г
Макфлурри Де Люкс Карамельно-Шоколадное [Макдоналдс],406 кКал,"7,1 г",11 г,71 г
Макфлурри Де Люкс Клубнично-Шоколадное [Макдоналдс],345 кКал,"6,4 г","8,6 г",60 г
Макфлурри Де Люкс Клубничный Бискотти [Макдоналдс],337 кКал,"6,4 г","9,4 г",56 г
Макфлурри Де Люкс Крем-Брюле [Макдоналдс],322 кКал,"6,5 г","6,6 г",59 г
Макфлурри Де Люкс Малина [Макдоналдс],294 кКал,"6,4 г","8,2 г",48 г
Макфлурри Де Люкс Мокко [Макдоналдс],360 кКал,"7,2 г",11 г,57 г
Макфлурри Де Люкс Персик [Макдоналдс],347 кКал,"6,7 г","8,2 г",61 г
Макфлурри Де Люкс с Бисквитом и Карамелью [Макдоналдс],400 кКал,"7,1 г",11 г,67 г
Макфлурри Де Люкс Фисташка [Макдоналдс],268 кКал,"6,1 г","7,7 г",44 г
Макфлурри Де Люкс Шоколадно-Карамельное [Макдоналдс],406 кКал,"7,1 г",11 г,71 г
Макфлурри Де Люкс Шоколадно-Клубничное [Макдоналдс],345 кКал,"6,4 г","8,6 г",60 г
Макфлурри Де Люкс Яблочный Пай [Макдоналдс],307 кКал,"6,5 г","6,6 г",55 г
Макфлурри с Рисом и Клубникой [Макдоналдс],290 кКал,5 г,6 г,54 г
Макфлурри Спелое Манго [Макдоналдс],285 кКал,"5,5 г","5,7 г",53 г
Макфлурри Шоколадно-Клубничное [Макдоналдс],345 кКал,"6,4 г","8,6 г",60 г
Макфлэйвор Фрайз [Макдоналдс],414 кКал,"7,1 г",20 г,49 г
Макфлэйвор Фрайз по Деревенски [Макдоналдс],449 кКал,"9,5 г",24 г,46 г
Макфреш [Макдоналдс],519 кКал,25 г,31 г,34 г
Макчикен [Макдоналдс],484 кКал,21 г,15 г,62 г
Макшейк [Макдоналдс],235 кКал,7 г,7 г,35 г
Малиновый Лимонад [Макдоналдс],139 кКал,0 г,0 г,35 г
"Малиновый Пунш (0,3 L) [Макдоналдс]",140 кКал,"0,3 г",0 г,35 г
Малиновый Шейк [Макдоналдс],244 кКал,"5,7 г","4,3 г",45 г
Маффин с Черной Смородиной [Макдоналдс],370 кКал,5 г,18 г,47 г
Маффин с Шоколадом [Макдоналдс],346 кКал,"5,9 г",12 г,55 г
Маффин с Яблоком и Корицей [Макдоналдс],463 кКал,"5,8 г",22 г,60 г
Маффин Шоколадный [Макдоналдс],289 кКал,"4,6 г","13,7 г","36,8 г"
Маффин Шоколадный с Черничным Джемом [Макдоналдс],360 кКал,5 г,16 г,49 г
Маэстро Биф & Бородинский [Макдоналдс],643 кКал,36 г,40 г,36 г
Маэстро Классик [Макдоналдс],686 кКал,41 г,42 г,37 г
Микс Бокс [Макдоналдс],858 кКал,38 г,41 г,83 г
"Молоко 3,5% [Макдоналдс]",62 кКал,3 г,"3,5 г","4,7 г"
Молочный Коктейль Ваниль [Макдоналдс],81 кКал,2 г,"1,5 г",15 г
"Молочный Коктейль Ванильный (0,3 L) [Макдоналдс]",244 кКал,"6,1 г","4,6 г",45 г
"Молочный Коктейль Ванильный (0,4 L) [Макдоналдс]",385 кКал,9 г,7 г,71 г
"Молочный Коктейль Клубника (0,25 L) [Макдоналдс]",244 кКал,"6,1 г","4,6 г",45 г
"Молочный Коктейль Клубничный (0,3 L) [Макдоналдс]",244 кКал,"6,1 г","4,6 г",45 г
"Молочный Коктейль Клубничный (0,4 L) [Макдоналдс]",385 кКал,9 г,7 г,71 г
"Молочный Коктейль Шоколадный (0,25 L) [Макдоналдс]",247 кКал,"6,7 г",5 г,43 г
